S. No.,University Name,College Name,College Type,State Name,District Name
1,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Aazad College of Education (Id: C-39230),Affiliated College,Andhra Pradesh,Prakasam
2,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Abhinav Institute of Management & Technology (Id: C-39450),Affiliated College,Andhra Pradesh,Prakasam
3,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Abhyudaya Mahila Degree College (Id: C-32630),Affiliated College,Andhra Pradesh,Guntur
4,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.B.M. College (Id: C-32735),Affiliated College,Andhra Pradesh,Prakasam
5,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.B.R College of Education (Id: C-39231),Affiliated College,Andhra Pradesh,Prakasam
6,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.C.College (Day) (Id: C-32762),Affiliated College,Andhra Pradesh,Guntur
7,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.C.College of Law (Id: C-32792),Affiliated College,Andhra Pradesh,Guntur
8,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.C.Evening College (Id: C-32720),Affiliated College,Andhra Pradesh,Guntur
9,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Acharya N.G.Ranga College of Education (Id: C-32793),Affiliated College,Andhra Pradesh,Guntur
10,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Adarsa College of Education (Id: C-32801),Affiliated College,Andhra Pradesh,Prakasam
11,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Adarsa Degree College for Women (Id: C-32733),Affiliated College,Andhra Pradesh,Guntur
12,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.G.K.M.College (Id: C-32664),Affiliated College,Andhra Pradesh,Guntur
13,"Acharya Nagarjuna University, Guntur (Id: U-0003)",A.L.College of Education (Id: C-32711),Affiliated College,Andhra Pradesh,Guntur
14,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Ali College of Education (Id: C-39243),Affiliated College,Andhra Pradesh,Guntur
15,"Acharya Nagarjuna University, Guntur (Id: U-0003)",AL Momin College of Education (Id: C-39261),Affiliated College,Andhra Pradesh,Prakasam
16,"Acharya Nagarjuna University, Guntur (Id: U-0003)",Alpha College of Education (Id: C-39238),Affiliated College,Andhra Pradesh,Prakasam
17,"Acharya Nagarjuna University, Guntur (Id: U-0003)","Alpha College of Education, Kanigiri (Id: C-44489)",Affiliated College,Andhra Pradesh,Prakasam
